observation_id,feature_a,feature_b,feature_c,target,split
OBS0077,-0.49744,1.74945,0,0,train
OBS0078,-0.72767,-0.0546,1,0,train
OBS0079,-0.17168,1.14783,2,1,train
OBS0080,0.26749,-0.49693,1,1,train
OBS0081,-0.04414,1.08518,2,0,train
OBS0082,-1.47156,0.33107,2,0,train
OBS0083,0.29693,0.47222,1,1,train
OBS0084,-0.19375,-0.31131,2,1,train
OBS0085,-0.65571,-0.08551,0,1,train
OBS0086,-0.27444,-0.71058,3,1,train
OBS0087,-0.43901,-1.17795,3,1,train
OBS0088,-0.43175,-0.83749,3,1,train
OBS0089,-0.43789,-0.21201,0,1,train
OBS0090,-1.17119,-1.6703,1,0,train
OBS0091,-0.82665,-0.54274,2,1,train
OBS0092,0.37796,0.08054,1,1,train
OBS0093,-1.46934,-2.18114,2,0,train
OBS0094,0.22226,0.88698,3,0,train
OBS0095,1.26796,0.30781,0,1,train
OBS0096,0.41652,-0.21184,2,1,train
OBS0097,0.39661,-0.52024,2,1,train
OBS0098,-1.77307,0.01241,1,0,train
OBS0099,-0.06611,0.62366,2,1,train
OBS0100,0.85309,1.85437,3,1,train
OBS0101,0.64802,-0.57192,3,1,train
OBS0102,0.7796,1.69024,0,1,train
OBS0103,-1.34602,-0.77209,1,0,train
OBS0104,0.71614,0.6841,1,0,train
OBS0105,-0.64717,0.94776,1,0,train
OBS0106,1.53218,-0.26925,3,1,train
OBS0107,1.0872,-0.24239,2,1,train
OBS0108,0.13812,0.71974,2,1,train
OBS0109,0.04291,-0.03888,1,0,train
OBS0110,0.57551,-1.04262,3,1,train
OBS0111,-0.42595,-0.60881,2,1,train
OBS0112,0.00487,0.39563,0,0,train
OBS0113,1.66449,-0.41185,3,1,train
OBS0114,0.15352,1.05279,2,0,train
OBS0115,-0.72849,0.30801,2,0,train
OBS0116,1.29405,1.16996,0,1,train
OBS0117,0.31243,1.64632,0,1,train
OBS0118,0.54833,-1.34759,2,1,train
OBS0119,-1.04232,-0.42377,2,0,train
OBS0120,0.45378,1.98819,1,0,train
OBS0121,-0.77075,0.2813,2,0,train
OBS0122,0.52684,-1.03336,1,1,train
OBS0123,-0.55252,-0.56123,1,1,train
OBS0124,-0.29717,-1.25305,3,0,train
OBS0125,0.53295,-0.85699,2,1,train
OBS0126,1.7071,1.33916,1,1,train
OBS0127,-0.2516,-1.54951,0,1,train
OBS0128,-0.79892,-0.18074,1,0,train
OBS0129,0.85963,-0.35834,2,1,train
OBS0130,-0.73344,-3.13327,2,1,train
OBS0131,-2.90522,0.85396,1,0,train
OBS0132,0.61944,0.31307,2,1,train
OBS0133,0.20501,-0.15858,2,1,train
OBS0134,-0.20541,-0.45372,3,1,train
OBS0135,-0.21424,0.64695,3,1,train
OBS0136,1.6333,1.03376,1,1,train
OBS0137,-0.01364,1.05073,0,0,train
OBS0138,-0.2134,0.27158,3,1,train
OBS0139,-1.03719,1.87065,0,0,train
OBS0140,0.09733,0.05595,2,1,train
OBS0141,-0.39878,0.42725,2,0,train
OBS0142,0.25574,-0.35395,2,1,train
OBS0143,-0.88087,-0.37261,0,0,train
OBS0144,-0.62571,0.74214,1,0,train
OBS0145,1.63657,-2.22897,1,1,train
OBS0146,0.05829,-0.16609,1,1,train
OBS0147,-0.06682,0.82197,2,0,train
OBS0148,-1.04145,-0.2127,1,0,train
OBS0149,1.37556,-1.08807,1,1,train
OBS0150,-0.44465,-0.03599,2,1,train
OBS0151,0.65665,0.71537,2,1,train
OBS0152,-0.98317,-0.85936,1,0,train
OBS0153,0.62987,1.77469,3,0,train
OBS0154,-1.70527,-0.59654,2,1,train
OBS0155,-1.04554,-0.04497,2,0,train
OBS0156,-0.19193,0.42951,3,1,train
OBS0157,0.30727,0.7568,2,1,train
OBS0158,-2.19519,0.89205,0,0,train
OBS0159,1.68387,-0.81917,1,1,train
OBS0160,1.10625,1.10953,3,1,train
OBS0161,0.23699,0.30311,1,0,train
OBS0162,0.21854,0.84141,1,0,train
OBS0163,0.00553,0.43882,3,1,train
OBS0164,0.855,0.63982,3,1,train
OBS0165,-0.81469,0.01862,3,0,train
OBS0166,-0.29252,-1.00318,3,1,train
OBS0167,0.7036,-1.12083,0,1,train
OBS0168,0.45151,1.08811,2,1,train
OBS0169,-0.04166,0.1006,3,1,train
OBS0170,-0.69095,1.15236,3,0,train
OBS0171,-0.55546,-0.70852,0,0,train
OBS0172,-0.52547,-0.32108,1,0,train
OBS0173,2.16226,-0.21717,3,1,train
OBS0174,1.61518,-0.89772,3,1,train
OBS0175,0.62234,0.513,1,1,train
OBS0176,2.13964,-0.84856,1,1,train
OBS0177,0.18641,0.05234,2,1,train
OBS0178,1.3795,1.01299,3,1,train
OBS0179,0.11545,-1.13804,3,1,train
OBS0180,0.10838,0.50415,0,0,train
OBS0181,-0.06638,0.56273,3,1,train
OBS0182,-0.11869,1.34122,1,0,train
OBS0183,-0.26799,-0.69087,2,1,train
OBS0184,-1.19763,-0.99405,1,0,train
OBS0185,1.06016,-0.71783,0,1,train
OBS0186,-1.19949,0.86443,2,1,train
OBS0187,1.56896,-0.39051,0,1,train
OBS0188,-0.81298,0.6202,1,0,train
OBS0189,1.48606,-0.25723,2,1,train
OBS0190,-0.36229,0.33209,3,0,train
OBS0191,0.08977,-0.9495,2,1,train
OBS0192,-1.91261,1.47855,0,0,train
OBS0193,-1.05601,-0.31434,0,0,train
OBS0194,0.16661,0.9915,2,0,train
OBS0195,-0.26506,0.30121,2,1,train
OBS0196,0.97774,-1.22426,1,1,train
OBS0197,1.18394,0.9821,0,1,train
OBS0198,1.47217,-0.4088,3,1,train
OBS0199,1.41759,-0.51874,1,1,train
OBS0200,-0.73233,1.05042,0,0,train
OBS0201,-0.0646,-0.18351,3,1,train
OBS0202,1.7354,2.36641,2,1,train
OBS0203,0.26669,-1.58657,2,1,train
OBS0204,0.74957,1.12858,3,1,train
OBS0205,1.39949,-0.14101,0,1,train
OBS0206,0.56059,0.87473,3,1,train
OBS0207,-0.92756,-0.49975,3,0,train
OBS0208,0.82904,3.50958,3,0,train
OBS0209,0.03007,0.35712,0,0,train
OBS0210,1.58815,0.15306,2,1,train
OBS0211,-2.2463,-0.62709,2,0,train
OBS0212,0.17737,0.60583,0,0,train
OBS0213,-0.15595,-1.43156,2,1,train
OBS0214,1.28027,-0.27485,3,1,train
OBS0215,-0.87898,-0.35891,1,0,train
OBS0216,-0.85165,-0.45507,3,1,train
OBS0217,-0.76939,0.71786,3,0,train
OBS0218,-0.28504,-0.61998,2,1,train
OBS0219,0.35228,-0.3373,2,0,train
OBS0220,-1.76973,-0.05115,0,0,train
OBS0221,0.02953,1.71892,3,0,train
OBS0222,0.97564,1.39097,2,1,train
OBS0223,-0.73389,1.41274,2,0,train
OBS0224,-0.60704,-1.58251,0,1,train
OBS0225,0.15763,-0.42553,2,1,train
OBS0226,-1.54907,1.26162,3,0,train
OBS0227,-0.26327,-1.59478,0,1,train
OBS0228,0.04442,-0.02322,0,1,train
OBS0229,0.13203,-0.92922,2,1,train
OBS0230,-1.41817,-1.5201,0,1,train
OBS0231,-0.70571,-0.99765,3,0,train
OBS0232,-0.25764,1.52383,2,0,train
OBS0233,-0.84688,0.58216,3,0,train
OBS0234,0.57347,2.34326,1,0,train
OBS0235,-0.20599,1.24436,0,0,train
OBS0236,0.48472,-2.29407,1,1,train
OBS0237,0.09785,1.47889,0,0,train
OBS0238,0.96144,-0.57332,3,1,train
OBS0239,-0.60903,-0.94433,3,1,train
OBS0240,0.26329,0.56952,2,1,train
OBS0241,1.58496,-0.24126,2,1,train
OBS0242,-1.97099,0.43898,1,0,train
OBS0243,-1.30776,0.50032,2,1,train
OBS0244,0.76084,0.04207,2,1,train
OBS0245,1.55636,-1.15652,3,1,train
OBS0246,0.66216,-1.49583,1,1,train
OBS0247,-0.10604,0.32404,0,1,train
OBS0248,2.67632,-0.34108,2,1,train
OBS0249,-0.11,1.42756,3,0,train
OBS0250,0.74643,-1.99832,3,1,train
OBS0251,0.47686,-0.39454,2,1,train
OBS0252,-1.7306,0.07891,1,0,train
OBS0253,-0.16666,-0.4828,1,0,train
OBS0254,-0.40458,0.5514,2,0,train
OBS0255,-1.5062,-0.43046,2,1,train
OBS0256,1.18813,-0.37258,0,1,train
OBS0257,-2.02822,1.15928,3,0,train
OBS0258,-0.65183,-0.24556,3,0,train
OBS0259,0.71602,-1.23415,2,1,train
OBS0260,-0.63939,-0.03408,3,0,train
OBS0261,0.10773,0.01075,3,1,train
OBS0262,0.00992,0.22717,1,0,train
OBS0263,-0.29793,-0.92717,3,1,train
OBS0264,-2.47102,0.29111,0,0,train
OBS0265,0.20608,-1.06749,2,1,train
OBS0266,1.29164,-0.75646,3,1,train
OBS0267,-1.51781,0.08926,3,0,train
OBS0268,1.51207,0.74702,3,1,train
OBS0269,0.66878,-0.94736,0,0,train
OBS0270,1.00104,0.52453,2,1,train
OBS0271,0.67281,0.29134,0,0,train
OBS0272,-0.20476,0.65495,0,0,train
OBS0273,-0.55735,-2.10804,1,0,train
OBS0274,-1.17555,-0.5824,3,0,train
OBS0275,0.90947,0.33649,0,1,train
OBS0276,-0.98433,-1.05441,0,0,train
OBS0277,0.05398,1.02257,3,0,train
OBS0278,-1.26352,-1.14423,0,1,train
OBS0279,-0.16182,-0.9297,0,0,train
OBS0280,-1.22118,-0.56708,3,1,train
OBS0281,-0.5815,0.35911,1,0,train
OBS0282,-0.44292,2.99825,0,0,train
OBS0283,-0.65396,1.43708,3,0,train
OBS0284,0.30003,0.08404,0,0,train
OBS0285,-0.99377,-0.12536,0,0,train
OBS0286,-0.06016,-0.0308,2,0,train
OBS0287,-1.3724,0.54696,3,0,train
OBS0288,1.46843,-0.47783,0,1,train
OBS0289,-0.38777,-1.31289,0,1,train
OBS0290,-0.08183,0.42011,3,1,train
OBS0291,-0.40189,0.44897,0,0,train
OBS0292,-0.16785,0.82017,2,0,train
OBS0293,2.78865,1.2977,1,1,train
OBS0294,0.19297,0.33813,2,0,train
OBS0295,-0.67224,0.13187,0,0,train
OBS0296,-1.43183,-1.75048,2,1,train
OBS0297,1.0744,0.17597,0,1,train
OBS0298,0.38127,-0.12146,2,1,train
OBS0299,0.80016,-0.36719,3,1,train
OBS0300,0.40263,-1.05241,2,1,train
OBS0301,0.49418,1.08109,2,1,train
OBS0302,1.17074,-0.35444,2,1,train
OBS0303,-2.21913,-0.04918,2,0,train
OBS0304,-0.04138,-0.40733,2,1,train
OBS0305,-0.05047,-0.2488,2,0,train
OBS0306,-1.02693,-0.57154,2,0,train
OBS0307,-1.14931,0.06078,0,0,train
OBS0308,0.08685,-1.28476,2,1,train
OBS0309,-1.01836,-0.74807,1,0,train
OBS0310,-0.20269,0.01535,2,1,train
OBS0311,1.00868,-0.43907,0,0,train
OBS0312,1.26523,0.36177,3,1,train
OBS0313,1.0422,0.13048,3,1,train
OBS0314,2.76559,-0.87115,0,1,train
OBS0315,-2.33117,-0.55485,1,0,train
OBS0316,0.1751,-0.53469,3,1,train
OBS0317,1.69009,0.20891,1,1,train
OBS0318,-0.1068,0.44272,2,0,train
OBS0319,-0.89881,-1.16663,2,0,train
OBS0320,-1.14698,0.37605,1,0,train
OBS0321,0.61739,1.15887,1,0,train
OBS0322,0.16599,1.28702,2,1,train
OBS0323,-0.31887,-0.03283,3,1,train
OBS0324,1.60833,-0.44689,0,1,train
OBS0325,1.28417,-0.01447,0,0,train
OBS0326,-0.69077,1.5218,2,0,train
OBS0327,0.43826,2.23038,0,0,train
OBS0328,-0.17415,1.95516,1,0,train
OBS0329,-1.60994,-1.10174,0,0,train
OBS0330,-0.20131,0.11594,2,1,train
OBS0331,1.18492,1.36877,2,1,train
OBS0332,0.3112,0.52522,2,1,train
OBS0333,0.55388,0.46742,3,1,train
OBS0334,-1.85732,0.56393,0,0,train
OBS0335,0.12476,-0.37052,2,1,train
OBS0336,-0.49112,-0.36278,1,0,train
OBS0337,-1.53432,0.10481,1,0,train
OBS0338,0.28407,0.61009,0,0,train
OBS0339,0.39676,-0.47631,3,1,train
OBS0340,-0.78552,0.21153,3,1,train
OBS0341,0.25253,0.83535,0,0,train
OBS0342,1.18645,1.88497,1,1,train
OBS0343,-0.58992,-0.56227,0,0,train
OBS0344,-0.04638,-0.01365,3,1,train
OBS0345,-0.28449,0.32923,0,0,train
OBS0346,0.81511,-0.72593,1,1,train
OBS0347,1.42617,-0.61143,0,1,train
OBS0348,0.89763,0.32199,1,1,train
OBS0349,-0.39166,-0.3569,3,1,train
OBS0350,-0.0331,-0.00893,2,0,train
OBS0351,0.33787,-0.54713,3,1,test
OBS0352,2.84765,2.61894,0,1,test
OBS0353,0.36168,0.65565,3,1,test
OBS0354,1.22817,-0.37481,1,1,test
OBS0355,-0.68329,0.29657,2,0,test
OBS0356,-1.16696,-0.02872,0,0,test
OBS0357,-0.63701,0.3316,0,0,test
OBS0358,-2.85599,-0.20753,3,0,test
OBS0359,0.73761,-1.91546,0,1,test
OBS0360,1.51536,0.62496,0,1,test
OBS0361,0.1303,0.26655,3,1,test
OBS0362,0.51301,1.4591,3,0,test
OBS0363,0.29006,0.97202,1,1,test
OBS0364,-0.50583,-0.09326,3,1,test
OBS0365,-1.0119,-0.50723,1,0,test
OBS0366,-0.04251,0.69791,0,0,test
OBS0367,-0.24643,2.83418,2,0,test
OBS0368,-1.57336,-2.0256,1,1,test
OBS0369,-1.16575,-0.82172,3,0,test
OBS0370,0.39869,0.03611,3,1,test
OBS0371,0.23261,-1.39005,1,1,test
OBS0372,-1.27197,-0.02516,3,0,test
OBS0373,-0.73055,-1.02969,1,1,test
OBS0374,-0.19838,0.90342,0,0,test
OBS0375,-1.09031,0.31865,3,0,test
OBS0376,-1.68452,0.98201,1,0,test
OBS0377,-0.42085,1.26528,1,0,test
OBS0378,-0.32958,-0.76112,3,1,test
OBS0379,0.31768,-0.53125,1,1,test
OBS0380,0.38531,-0.08083,3,1,test
OBS0381,0.74969,-0.53631,2,1,test
OBS0382,0.86244,-0.3126,0,1,test
OBS0383,0.06044,0.12292,1,0,test
OBS0384,-0.9243,-0.93906,0,0,test
OBS0385,1.18747,0.91984,0,1,test
OBS0386,0.02019,-0.13216,3,1,test
OBS0387,0.37067,-0.52628,3,1,test
OBS0388,-0.91864,-0.22774,0,0,test
OBS0389,-0.30665,1.06748,3,0,test
OBS0390,0.56163,1.59069,2,0,test
OBS0391,-1.18557,1.37987,1,0,test
OBS0392,0.28429,-0.26984,0,0,test
OBS0393,-1.20983,-0.23244,1,0,test
OBS0394,-1.23031,-0.35707,3,1,test
OBS0395,-0.17842,-1.50305,2,1,test
OBS0396,-0.52117,-0.38413,2,1,test
OBS0397,-0.67364,0.81732,3,0,test
OBS0398,2.00043,0.49641,0,1,test
OBS0399,-0.03052,0.19423,3,0,test
OBS0400,-0.0206,-1.26446,2,0,test
OBS0401,0.25729,0.80924,0,0,test
OBS0402,-1.06736,-0.27938,3,0,test
OBS0403,-0.13655,0.73242,3,1,test
OBS0404,0.56178,0.15291,2,1,test
OBS0405,0.38821,-1.72333,0,1,test
OBS0406,-0.35485,0.55744,2,0,test
OBS0407,0.37091,-0.40482,2,1,test
OBS0408,-1.61865,-0.63625,2,0,test
OBS0409,1.30459,-0.07367,1,1,test
OBS0410,0.03949,-1.58119,0,1,test
OBS0411,0.35998,1.3281,3,1,test
OBS0412,-0.4584,0.03671,0,0,test
OBS0413,3.01291,-0.80676,2,1,test
OBS0414,-1.99782,-0.37208,0,0,test
OBS0415,0.28807,1.52814,2,0,test
OBS0416,0.26079,0.42149,1,0,test
OBS0417,0.3532,-0.5676,2,1,test
OBS0418,-0.53199,-0.74715,2,0,test
OBS0419,0.64385,2.47347,2,0,test
OBS0420,0.12385,-0.68012,1,1,test
OBS0421,-0.33887,-0.04151,0,0,test
OBS0422,0.09607,0.55964,1,1,test
OBS0423,-0.08215,0.31998,1,1,test
OBS0424,1.24012,-0.0067,0,1,test
OBS0425,-0.07842,-0.55386,0,1,test
OBS0426,-0.41679,-1.09637,2,1,test
OBS0427,-0.46827,0.81127,3,0,test
OBS0428,-1.26742,3.6425,1,0,test
OBS0429,0.76291,1.00968,3,1,test
OBS0430,-1.45901,0.35685,1,0,test
OBS0431,0.95781,0.4649,3,1,test
OBS0432,-1.50716,-0.70698,3,1,test
OBS0433,1.31314,0.05094,1,1,test
OBS0434,1.96521,-0.52451,3,1,test
OBS0435,-1.55181,1.7019,1,0,test
OBS0436,0.54404,-0.93624,0,1,test
OBS0437,0.55003,-0.21037,0,0,test
OBS0438,0.196,0.56129,3,0,test
OBS0439,0.50193,1.00239,3,0,test
OBS0440,1.25607,0.08636,2,1,test
OBS0441,-1.6447,0.47374,0,0,test
OBS0442,0.56927,-0.89445,2,1,test
OBS0443,-0.31884,0.14334,0,0,test
OBS0444,0.60322,1.79975,2,0,test
OBS0445,1.20514,0.19136,2,1,test
OBS0446,0.37824,-1.34623,1,1,test
OBS0447,0.56709,0.0703,1,1,test
OBS0448,-0.20997,-0.18878,1,1,test
OBS0449,-1.19918,2.52773,2,0,test
OBS0450,-0.7914,-0.29961,3,0,test
OBS0451,-0.68982,1.04795,0,0,test
OBS0452,0.7078,0.93738,2,0,test
OBS0453,-0.52016,-0.75447,0,1,test
OBS0454,-0.19423,0.48649,3,0,test
OBS0455,0.13299,-0.23714,0,0,test
OBS0456,1.09948,0.22449,3,1,test
OBS0457,0.93928,1.72221,0,0,test
OBS0458,-1.88151,1.3349,1,0,test
OBS0459,0.0264,-0.8133,2,1,test
OBS0460,1.14216,0.26721,0,1,test
OBS0461,-0.6831,2.46067,2,0,test
OBS0462,-0.10625,0.86023,3,0,test
OBS0463,-1.47132,0.88594,2,0,test
OBS0464,0.29673,0.75787,2,1,test
OBS0465,-1.13972,-0.24405,1,0,test
OBS0466,-1.26077,0.49037,3,0,test
OBS0467,0.10516,1.77988,0,0,test
OBS0468,0.73551,-0.19601,3,1,test
OBS0469,1.64926,-1.58301,3,1,test
OBS0470,-0.78078,-1.4939,3,1,test
OBS0471,0.37026,0.86628,3,0,test
OBS0472,0.38859,1.6469,1,0,test
OBS0473,-1.2,-0.45262,0,0,test
OBS0474,-0.83758,0.00416,1,0,test
OBS0475,-0.63381,0.17668,0,0,test
OBS0476,0.30207,0.02408,0,0,test
OBS0477,-0.4131,0.95527,2,0,test
OBS0478,2.0236,-0.32099,3,1,test
OBS0479,-0.05437,-0.32425,3,1,test
OBS0480,-0.51284,-0.03009,2,0,test
OBS0481,1.39619,-1.15844,3,1,test
OBS0482,-0.7488,-0.697,2,1,test
OBS0483,-1.63759,0.13529,3,0,test
OBS0484,-0.42049,0.88733,3,0,test
OBS0485,-0.02658,-0.48239,3,1,test
OBS0486,-0.37124,-1.50944,2,1,test
OBS0487,1.00915,0.00164,2,1,test
OBS0488,1.23989,1.28311,0,0,test
OBS0489,-0.69078,-0.76081,1,0,test
OBS0490,-0.02056,-0.56967,2,0,test
OBS0491,0.21703,2.7603,0,0,test
OBS0492,0.06283,-0.92122,3,1,test
OBS0493,0.44073,0.81681,2,0,test
OBS0494,0.37392,-1.10932,0,1,test
OBS0495,0.39303,-0.45097,1,1,test
OBS0496,-0.0862,0.31798,3,1,test
OBS0497,-0.35208,-1.45936,1,1,test
OBS0498,0.32329,-0.89525,1,1,test
OBS0499,0.73339,0.23774,0,1,test
OBS0500,-1.17457,-1.11526,3,1,test
OBS0501,1.07548,-1.20355,2,1,test
OBS0502,0.40615,0.90058,0,0,test
OBS0503,-0.72341,0.90863,2,0,test
OBS0504,-1.89873,-0.76625,0,0,test
OBS0505,0.60681,-0.31183,0,1,test
OBS0506,-0.02639,-1.2178,1,1,test
OBS0507,-0.39283,-0.44713,3,1,test
OBS0508,-1.20761,-0.39797,2,0,test
OBS0509,-1.4535,0.18797,1,0,test
OBS0510,0.65327,-0.78744,3,1,test
OBS0511,-1.08981,-0.23355,2,1,test
OBS0512,1.03511,0.43394,0,1,test
OBS0513,0.41568,0.63045,1,0,test
OBS0514,0.30206,0.30481,0,0,test
OBS0515,-1.55441,-0.7196,1,0,test
OBS0516,0.66448,0.25704,2,1,test
OBS0517,-1.23549,-0.2694,2,0,test
OBS0518,0.78287,0.75277,2,1,test
OBS0519,1.1895,-1.47336,0,1,test
OBS0520,0.15613,0.19663,0,0,test
